
2025/08/13 (16:57:54) | ===> btop++ v.1.4.0
2025/08/13 (16:57:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (17:48:52) | ===> btop++ v.1.4.0
2025/08/13 (17:48:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (19:00:22) | ===> btop++ v.1.4.0
2025/08/13 (19:00:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (20:56:21) | ===> btop++ v.1.4.0
2025/08/13 (20:56:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/13 (21:24:05) | WARNING: Failed to join _runner thread on exit!

2025/08/13 (21:35:18) | ===> btop++ v.1.4.0
2025/08/13 (21:35:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (23:52:54) | ===> btop++ v.1.4.0
2025/08/13 (23:52:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/13 (23:55:50) | ===> btop++ v.1.4.0
2025/08/13 (23:55:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/14 (11:03:26) | ===> btop++ v.1.4.0
2025/08/14 (11:03:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/15 (02:18:28) | ===> btop++ v.1.4.0
2025/08/15 (02:18:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/15 (02:29:21) | ===> btop++ v.1.4.0
2025/08/15 (02:29:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/15 (03:12:16) | ===> btop++ v.1.4.0
2025/08/15 (03:12:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/15 (04:05:13) | ===> btop++ v.1.4.0
2025/08/15 (04:05:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/16 (06:03:43) | ===> btop++ v.1.4.0
2025/08/16 (06:03:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/21 (13:58:33) | ===> btop++ v.1.4.0
2025/08/21 (13:58:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/21 (14:02:27) | ===> btop++ v.1.4.0
2025/08/21 (14:02:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (08:02:45) | ===> btop++ v.1.4.0
2025/08/24 (08:02:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (22:06:54) | ===> btop++ v.1.4.0
2025/08/24 (22:06:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (22:12:15) | ===> btop++ v.1.4.0
2025/08/24 (22:12:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (22:13:59) | ===> btop++ v.1.4.0
2025/08/24 (22:13:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (22:15:54) | ===> btop++ v.1.4.0
2025/08/24 (22:15:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (22:22:14) | ===> btop++ v.1.4.0
2025/08/24 (22:22:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (22:24:20) | ===> btop++ v.1.4.0
2025/08/24 (22:24:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/24 (23:46:41) | ===> btop++ v.1.4.0
2025/08/24 (23:46:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/25 (01:24:07) | ===> btop++ v.1.4.0
2025/08/25 (01:24:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/25 (22:42:52) | ===> btop++ v.1.4.0
2025/08/25 (22:42:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
